F_H,L_R,date_imaged,family_num,indv_num,sex,percent_cover_color,color_scale_area,background_area,wing_area
hind,right,2015xii17,164,0207,F,14.45754047145697,10.181,29.58,"70.42
"
hind,right,2015xii17,164,0212,F,30.188247738025474,21.12,30.039,"69.961
"
hind,right,2015xii17,164,0213,M,15.121784267868346,10.604,29.876,"70.124
"
hind,right,2015xii17,164,0218,M,17.134799125129504,11.908,30.504,"69.496
"
hind,right,2015xii17,164,0222,M,28.00118607212448,19.831,29.178,"70.822
"
hind,right,2015xii17,164,0223,M,23.389293457112675,16.83,28.044,"71.956
"
hind,right,2015xii17,164,0225,M,15.650971425441899,11.431,26.963,"73.037
"
hind,right,2015xii17,164,0226,F,16.56545489837229,11.948,27.874,"72.126
"
hind,right,2015xii17,164,0227,M,15.307265660659205,11.067,27.701,"72.299
"
hind,right,2015xii17,164,0228,M,20.17241379310345,14.859,26.34,"73.66
"
hind,right,2015xii17,164,0230,F,24.215693149148024,17.267,28.695,"71.305
"
hind,right,2015xii17,164,201,M,17.768093162820605,12.435,30.015,"69.985
"
hind,right,2015xii18,164,0236,M,16.054739178058806,11.286,29.703,"70.297
"
hind,right,2015xii18,164,0237,F,24.597978325178406,17.545,28.673,"71.327
"
hind,right,2015xii18,164,0240,M,23.86362026715016,16.847,29.403,"70.59700000000001
"
hind,right,2015xii18,164,0241,F,11.714448723434602,8.213,29.89,"70.11
"
hind,right,2015xii18,164,0256,M,31.40029542097489,21.258,32.3,"67.7
"
hind,right,2015xii18,164,0257,F,13.151164926459161,9.308,29.223,"70.777
"
hind,right,2015xii18,164,0258,F,31.83129982569935,22.28,30.006,"69.994
"
hind,right,2015xii18,164,0262,F,17.484477406002068,12.165,30.424,"69.576
"
hind,right,2015xii18,164,0263,M,17.505629507168713,12.283,29.834,"70.166
"
hind,right,2015xii19,164,0276,M,19.348677974733686,13.677,29.313,"70.687
"
hind,right,2015xii19,164,0278,F,25.312645724702193,17.913,29.233,"70.767
"
hind,right,2015xii19,164,0283,M,16.356738344802757,11.813,27.779,"72.221
"
hind,right,2015xii19,164,0289,F,12.254616415215235,8.415,31.332,"68.668
"
hind,right,2015xii19,164,0290,M,22.063725019545448,16.086,27.093,"72.907
"
hind,right,2015xii19,164,0292,F,12.98735149669383,9.467,27.106,"72.894
"
hind,right,2015xii19,164,0295,F,14.027337312523368,10.129,27.791,"72.209
"
hind,right,2015xii19,164,0296,M,14.617257540146086,10.386,28.947,"71.053
"
hind,right,2015xii19,164,0297,F,8.636843672994123,6.379,26.142,"73.858
"
hind,right,2015xii21,164,0302,M,22.2659673627245,16.005,28.119,"71.881
"
hind,right,2015xii21,164,0309,M,19.520983467571003,13.815,29.23,"70.77
"
hind,right,2015xii21,164,0314,F,17.803255637877886,13.168,26.036,"73.964
"
hind,right,2015xii21,164,0321,F,22.618966988607887,16.698,26.177,"73.82300000000001
"
hind,right,2015xii21,164,0325,M,17.609485182934584,12.461,29.237,"70.763
"
hind,right,2015xii21,164,0331,F,16.147895051182687,11.626,28.003,"71.997
"
hind,right,2015xii21,164,0337,M,28.77222390151411,20.941,27.218,"72.782
"
hind,right,2015xii21,164,0340,M,13.25762427243877,9.316,29.731,"70.269
"
hind,right,2015xii21,164,0344,M,15.214886021868063,10.826,28.846,"71.154
"
hind,right,2015xii21,164,0346,F,16.188410632855078,11.644,28.072,"71.928
"
hind,right,2015xii21,164,0347,F,10.495301132475946,7.516,28.387,"71.613
"
hind,right,2015xii21,164,0349,M,21.872713972201904,15.847,27.549,"72.451
"
hind,right,2015xii21,164,0351,M,18.87302036199095,13.347,29.28,"70.72
"
hind,right,2015xii21,164,0352,M,17.13008364580329,11.878,30.66,"69.34
"
hind,right,2015xii21,164,0353,F,14.995495618465235,10.986,26.738,"73.262
"
hind,right,2015xii21,164,0354,M,19.19938948244762,13.837,27.93,"72.07
"
hind,right,2015xii21,164,0355,M,12.426085726411092,8.784,29.31,"70.69
"
hind,right,2015xii22,164,0363,F,19.185337704207416,14.163,26.178,"73.822
"
hind,right,2015xii22,164,0365,M,13.878871300757053,10.083,27.35,"72.65
"
hind,right,2015xii22,164,0366,F,16.487762385140638,11.735,28.826,"71.174
"
hind,right,2015xii22,164,0372,M,9.588448056754228,6.866,28.393,"71.607
"
hind,right,2015xii22,164,0375,M,22.066262716104283,15.878,28.044,"71.956
"
hind,right,2015xii22,164,0378,M,17.387358897856487,12.646,27.269,"72.731
"
hind,right,2015xii22,164,0379,F,11.99023166435358,8.985,25.064,"74.936
"
hind,right,2015xii22,164,0382,F,11.514815919126521,8.11,29.569,"70.431
"
hind,right,2015xii22,164,0387,M,12.683099589176935,8.953,29.41,"70.59
"
hind,right,2015xii22,164,0394,M,15.861545382971546,11.282,28.872,"71.128
"
hind,right,2015xii22,164,0395,F,14.565438632200287,10.734,26.305,"73.695
"
hind,right,2015xii22,164,0397,M,16.872613529088525,11.975,29.027,"70.973
"
hind,right,2015xii22,164,0401,F,11.470354431073709,8.369,27.038,"72.962
"
hind,right,2015xii22,164,0404,F,10.283949414989078,7.392,28.121,"71.879
"
hind,right,2015xii22,164,0405,M,12.450521268885542,8.933,28.252,"71.748
"
